                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.7408,                 13.491,                 4.3059,                      0,                      0,                      0,                      0,                 6.6801,                 7.5384,                 4.1599,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 6.6469,                 9.9536,                   4.36,                      0,                      0,                      0,                      0,                 6.6804,                 7.5417,                 4.1609,             4.2729e-05,             4.2729e-05,             4.2729e-05
                      3,                 4.6646,                 14.455,                 2.9466,                      0,                      0,                      0,                      0,                 6.6807,                 7.5463,                 4.1618,             7.0978e-05,             7.0978e-05,             7.0978e-05
                      4,                 6.7235,                 9.9312,                 4.2509,                      0,                      0,                      0,                      0,                 6.6809,                 7.5506,                 4.1624,              9.904e-05,              9.904e-05,              9.904e-05
                      5,                 5.3428,                 13.319,                 3.3726,                      0,                      0,                      0,                      0,                  6.681,                 7.5541,                 4.1627,             0.00012691,             0.00012691,             0.00012691
                      6,                 6.5977,                 10.278,                 4.0915,                      0,                      0,                      0,                      0,                 6.6811,                 7.5569,                 4.1629,              0.0001546,              0.0001546,              0.0001546
                      7,                  6.295,                 14.272,                 3.8559,                      0,                      0,                      0,                      0,                 6.6809,                  7.556,                 4.1628,             0.00018209,             0.00018209,             0.00018209
                      8,                 4.3792,                 13.437,                 2.6726,                      0,                      0,                      0,                      0,                 6.6809,                 7.5568,                  4.163,              0.0002094,              0.0002094,              0.0002094
                      9,                 6.3777,                 7.0426,                 4.1102,                      0,                      0,                      0,                      0,                 6.6808,                 7.5548,                  4.163,             0.00023652,             0.00023652,             0.00023652
                     10,                 6.4701,                 9.0992,                 4.1119,                      0,                      0,                      0,                      0,                 6.6805,                 7.5485,                 4.1626,             0.00026345,             0.00026345,             0.00026345
                     11,                 6.7236,                  10.49,                 4.0749,                      0,                      0,                      0,                      0,                 6.6801,                  7.538,                 4.1617,             0.00029019,             0.00029019,             0.00029019
                     12,                 6.5343,                  8.026,                 4.0201,                      0,                      0,                      0,                      0,                 6.6796,                 7.5219,                 4.1605,             0.00031674,             0.00031674,             0.00031674
                     13,                 6.4991,                 7.5244,                 3.8286,                      0,                      0,                      0,                      0,                  6.679,                 7.5007,                 4.1593,              0.0003431,              0.0003431,              0.0003431
                     14,                 6.1438,                 6.4659,                 3.8734,                      0,                      0,                      0,                      0,                 6.6784,                  7.474,                 4.1582,             0.00036928,             0.00036928,             0.00036928
                     15,                 6.2266,                 7.5442,                 3.6309,                      0,                      0,                      0,                      0,                 6.6782,                 7.4425,                 4.1584,             0.00039526,             0.00039526,             0.00039526
                     16,                  6.382,                 8.8891,                 3.4867,                      0,                      0,                      0,                      0,                 6.6786,                 7.4114,                 4.1604,             0.00042106,             0.00042106,             0.00042106
                     17,                 6.1377,                 6.8161,                 3.4407,                      0,                      0,                      0,                      0,                 6.6798,                 7.3779,                 4.1655,             0.00044667,             0.00044667,             0.00044667
                     18,                 5.6199,                 6.6346,                 3.4873,                      0,                      0,                      0,                      0,                  6.682,                 7.3439,                 4.1744,             0.00047209,             0.00047209,             0.00047209
                     19,                 5.5765,                 5.1553,                 3.6505,                      0,                      0,                      0,                      0,                 6.6854,                 7.3153,                 4.1874,             0.00049732,             0.00049732,             0.00049732
                     20,                 5.6772,                   5.31,                 3.4753,                      0,                      0,                      0,                      0,                 6.6893,                 7.2852,                 4.2027,             0.00052237,             0.00052237,             0.00052237
                     21,                  4.498,                 4.5034,                 3.2127,                      0,                      0,                      0,                      0,                 6.6933,                 7.2554,                 4.2183,             0.00054722,             0.00054722,             0.00054722
                     22,                 4.5186,                 4.6624,                 3.2989,                      0,                      0,                      0,                      0,                 6.6933,                 7.2554,                 4.2183,             0.00057189,             0.00057189,             0.00057189
                     23,                 5.0086,                 4.4992,                 3.2661,                      0,                      0,                      0,                      0,                 6.6981,                 7.2289,                 4.2377,             0.00059636,             0.00059636,             0.00059636
                     24,                 4.9295,                 4.5317,                 3.0808,                      0,                      0,                      0,                      0,                 6.7074,                 7.2278,                 4.2759,             0.00062065,             0.00062065,             0.00062065
                     25,                   4.02,                 4.4084,                  3.448,                      0,                      0,                      0,                      0,                 6.7074,                 7.2278,                 4.2759,             0.00064475,             0.00064475,             0.00064475
                     26,                 4.7687,                 4.3605,                 3.2156,                      0,                      0,                      0,                      0,                  6.717,                 7.2478,                 4.3169,             0.00066866,             0.00066866,             0.00066866
                     27,                 4.2409,                 4.3232,                 3.4814,                      0,                      0,                      0,                      0,                  6.729,                 7.2853,                 4.3705,             0.00069239,             0.00069239,             0.00069239
                     28,                 4.5045,                 3.9791,                 3.1341,                      0,                      0,                      0,                      0,                  6.729,                 7.2853,                 4.3705,             0.00071592,             0.00071592,             0.00071592
                     29,                 4.3178,                 3.9128,                 2.9727,                      0,                      0,                      0,                      0,                 6.7428,                 7.3888,                 4.4364,             0.00073927,             0.00073927,             0.00073927
                     30,                 3.9367,                 3.7582,                 2.9304,                      0,                      0,                      0,                      0,                 6.7534,                 7.4454,                 4.4887,             0.00076242,             0.00076242,             0.00076242
                     31,                 4.3096,                 3.8458,                 3.1055,                      0,                      0,                      0,                      0,                 6.7534,                 7.4454,                 4.4887,             0.00078539,             0.00078539,             0.00078539
                     32,                 4.8253,                 3.9014,                  2.994,                      0,                      0,                      0,                      0,                 6.7563,                 7.3854,                 4.5013,             0.00080817,             0.00080817,             0.00080817
                     33,                 3.7076,                 4.1596,                 2.8185,                      0,                      0,                      0,                      0,                 6.7612,                 7.3566,                 4.5252,             0.00083076,             0.00083076,             0.00083076
                     34,                 4.3409,                 6.0957,                 2.7083,                      0,                      0,                      0,                      0,                 6.7612,                 7.3566,                 4.5252,             0.00085317,             0.00085317,             0.00085317
                     35,                 4.0714,                 3.7846,                 2.7927,                      0,                      0,                      0,                      0,                 6.7686,                 7.3511,                 4.5635,             0.00087538,             0.00087538,             0.00087538
                     36,                 4.1345,                 4.1719,                 2.5384,                      0,                      0,                      0,                      0,                 6.7686,                 7.3511,                 4.5635,              0.0008974,              0.0008974,              0.0008974
                     37,                  3.794,                 3.7752,                   2.71,                      0,                      0,                      0,                      0,                 6.7779,                 7.4173,                 4.6135,             0.00091924,             0.00091924,             0.00091924
                     38,                 3.8214,                 3.7074,                 2.7664,                      0,                      0,                      0,                      0,                 6.7779,                 7.4173,                 4.6135,             0.00094089,             0.00094089,             0.00094089
                     39,                 3.8534,                 3.5882,                 2.7495,                      0,                      0,                      0,                      0,                  6.791,                 7.5581,                 4.6857,             0.00096235,             0.00096235,             0.00096235
                     40,                 3.8188,                 4.8392,                  2.491,                      0,                      0,                      0,                      0,                  6.791,                 7.5581,                 4.6857,             0.00098362,             0.00098362,             0.00098362
                     41,                 3.8613,                 3.4882,                 2.6367,                      0,                      0,                      0,                      0,                 6.8024,                 7.8152,                 4.7473,              0.0010047,              0.0010047,              0.0010047
                     42,                 3.8649,                 3.4508,                 2.4825,                      0,                      0,                      0,                      0,                 6.8024,                 7.8152,                 4.7473,              0.0010256,              0.0010256,              0.0010256
                     43,                 4.2595,                 3.4453,                 2.3503,                      0,                      0,                      0,                      0,                 6.8047,                 7.9218,                 4.7491,              0.0010463,              0.0010463,              0.0010463
                     44,                  3.763,                 3.6462,                 2.5484,                      0,                      0,                      0,                      0,                 6.8047,                 7.9218,                 4.7491,              0.0010668,              0.0010668,              0.0010668
                     45,                 4.1162,                 3.7842,                  2.634,                      0,                      0,                      0,                      0,                 6.8021,                 8.0107,                 4.7261,              0.0010871,              0.0010871,              0.0010871
                     46,                 4.0618,                 3.7083,                 2.3727,                      0,                      0,                      0,                      0,                 6.8021,                 8.0107,                 4.7261,              0.0011073,              0.0011073,              0.0011073
                     47,                 4.1747,                 3.8003,                 2.2379,                      0,                      0,                      0,                      0,                 6.8022,                 8.1278,                  4.726,              0.0011272,              0.0011272,              0.0011272
                     48,                 3.8984,                 3.9167,                 2.1598,                      0,                      0,                      0,                      0,                 6.8022,                 8.1278,                  4.726,               0.001147,               0.001147,               0.001147
                     49,                 3.6481,                 3.1533,                 2.3609,                      0,                      0,                      0,                      0,                 6.8034,                 8.2622,                   4.73,              0.0011666,              0.0011666,              0.0011666
                     50,                 4.0273,                 3.3551,                 2.1822,                      0,                      0,                      0,                      0,                 6.8034,                 8.2622,                   4.73,               0.001186,               0.001186,               0.001186
                     51,                 4.1386,                 3.3663,                 2.0186,                      0,                      0,                      0,                      0,                 6.7999,                 8.5559,                 4.7065,              0.0011932,              0.0011932,              0.0011932
                     52,                  3.853,                 3.2237,                 2.3872,                      0,                      0,                      0,                      0,                 6.7999,                 8.5559,                 4.7065,              0.0011932,              0.0011932,              0.0011932
                     53,                  4.012,                 3.1858,                 2.1588,                      0,                      0,                      0,                      0,                 6.7999,                 8.5559,                 4.7065,              0.0011885,              0.0011885,              0.0011885
                     54,                 3.6501,                  3.001,                 2.0783,                      0,                      0,                      0,                      0,                  6.792,                 8.6622,                 4.6677,              0.0011838,              0.0011838,              0.0011838
                     55,                 3.6219,                 3.0184,                 2.1132,                      0,                      0,                      0,                      0,                  6.792,                 8.6622,                 4.6677,              0.0011791,              0.0011791,              0.0011791
                     56,                 4.1919,                 3.2541,                 1.9975,                      0,                      0,                      0,                      0,                 6.7764,                 8.5011,                 4.5885,              0.0011744,              0.0011744,              0.0011744
                     57,                 3.5117,                 2.7779,                 1.9493,                      0,                      0,                      0,                      0,                 6.7764,                 8.5011,                 4.5885,              0.0011696,              0.0011696,              0.0011696
                     58,                 3.6679,                 2.8618,                 2.0761,                      0,                      0,                      0,                      0,                 6.7764,                 8.5011,                 4.5885,              0.0011649,              0.0011649,              0.0011649
                     59,                 3.3573,                 2.9813,                    2.1,                      0,                      0,                      0,                      0,                 6.7208,                 7.7459,                 4.3564,              0.0011602,              0.0011602,              0.0011602
                     60,                 3.5068,                 2.9399,                 1.8821,                      0,                      0,                      0,                      0,                 6.7208,                 7.7459,                 4.3564,              0.0011555,              0.0011555,              0.0011555
                     61,                 3.7567,                 4.1685,                 2.3797,                      0,                      0,                      0,                      0,                 6.5968,                 6.7248,                 4.0115,              0.0011508,              0.0011508,              0.0011508
                     62,                 3.5834,                 2.8847,                 1.9672,                      0,                      0,                      0,                      0,                 6.5968,                 6.7248,                 4.0115,              0.0011461,              0.0011461,              0.0011461
                     63,                 3.3552,                 3.5766,                 1.9173,                      0,                      0,                      0,                      0,                 6.5968,                 6.7248,                 4.0115,              0.0011413,              0.0011413,              0.0011413
                     64,                 3.4182,                 3.2058,                 2.0882,                      0,                      0,                      0,                      0,                 6.4766,                 6.1856,                 3.8133,              0.0011366,              0.0011366,              0.0011366
                     65,                 3.2937,                 2.7366,                   1.89,                      0,                      0,                      0,                      0,                 6.4766,                 6.1856,                 3.8133,              0.0011319,              0.0011319,              0.0011319
                     66,                 3.7206,                 3.1883,                 2.0067,                      0,                      0,                      0,                      0,                 6.3273,                 5.9107,                 3.6518,              0.0011272,              0.0011272,              0.0011272
                     67,                 3.0791,                 2.7578,                 1.8398,                      0,                      0,                      0,                      0,                 6.3273,                 5.9107,                 3.6518,              0.0011225,              0.0011225,              0.0011225
                     68,                 3.4876,                 2.5842,                 1.8174,                      0,                      0,                      0,                      0,                 6.3273,                 5.9107,                 3.6518,              0.0011178,              0.0011178,              0.0011178
                     69,                 3.3571,                 3.2112,                 2.1775,                      0,                      0,                      0,                      0,                 6.3875,                 6.1817,                 3.7191,               0.001113,               0.001113,               0.001113
                     70,                 3.0146,                 2.7543,                 1.9343,                      0,                      0,                      0,                      0,                 6.3875,                 6.1817,                 3.7191,              0.0011083,              0.0011083,              0.0011083
                     71,                 3.0616,                 3.1548,                 1.7792,                      0,                      0,                      0,                      0,                 5.8494,                 5.6059,                 3.3772,              0.0011036,              0.0011036,              0.0011036
                     72,                 2.8037,                 2.7053,                 2.0004,                      0,                      0,                      0,                      0,                 5.8494,                 5.6059,                 3.3772,              0.0010989,              0.0010989,              0.0010989
                     73,                 2.8795,                 2.6505,                 1.6873,                      0,                      0,                      0,                      0,                 5.8494,                 5.6059,                 3.3772,              0.0010942,              0.0010942,              0.0010942
                     74,                 2.6392,                 3.2614,                 1.8494,                0.00128,                0.06667,                0.03251,                0.01927,                 5.1867,                 4.6159,                 3.0152,              0.0010895,              0.0010895,              0.0010895
                     75,                 2.8771,                 2.5588,                 1.9012,                0.00128,                0.06667,                0.03251,                0.01927,                 5.1867,                 4.6159,                 3.0152,              0.0010848,              0.0010848,              0.0010848
                     76,                  2.706,                  2.742,                 1.8651,                0.05283,                0.13333,                0.04326,                 0.0225,                 4.7797,                 3.8807,                 2.7982,                0.00108,                0.00108,                0.00108
                     77,                 2.7687,                  2.578,                 1.6496,                0.05283,                0.13333,                0.04326,                 0.0225,                 4.7797,                 3.8807,                 2.7982,              0.0010753,              0.0010753,              0.0010753
                     78,                 2.7682,                 2.4623,                 1.6956,                0.05283,                0.13333,                0.04326,                 0.0225,                 4.7797,                 3.8807,                 2.7982,              0.0010706,              0.0010706,              0.0010706
                     79,                 2.8374,                 2.3937,                 1.7157,                0.08753,                0.03333,                0.04204,                0.02003,                 4.8829,                 3.8283,                 2.7538,              0.0010659,              0.0010659,              0.0010659
                     80,                 2.8602,                 2.3343,                 1.6771,                0.08753,                0.03333,                0.04204,                0.02003,                 4.8829,                 3.8283,                 2.7538,              0.0010612,              0.0010612,              0.0010612
                     81,                 2.6836,                 2.4726,                 1.6369,                0.11438,                0.03333,                 0.0354,                0.01423,                 4.9214,                 3.9125,                  2.698,              0.0010565,              0.0010565,              0.0010565
                     82,                 2.3499,                 2.4471,                 1.8673,                0.11438,                0.03333,                 0.0354,                0.01423,                 4.9214,                 3.9125,                  2.698,              0.0010517,              0.0010517,              0.0010517
                     83,                 2.4531,                 2.3832,                 1.6456,                0.11438,                0.03333,                 0.0354,                0.01423,                 4.9214,                 3.9125,                  2.698,               0.001047,               0.001047,               0.001047
                     84,                 2.7261,                 2.3546,                 1.7689,                0.12729,                0.13195,                 0.0648,                0.02546,                 4.1136,                 3.6568,                 2.4036,              0.0010423,              0.0010423,              0.0010423
                     85,                 2.7965,                 2.4144,                 1.6712,                0.12729,                0.13195,                 0.0648,                0.02546,                 4.1136,                 3.6568,                 2.4036,              0.0010376,              0.0010376,              0.0010376
                     86,                 2.8752,                  2.739,                 1.6128,                0.24811,                0.28456,                0.16858,                0.06246,                  3.213,                 3.2817,                 2.1457,              0.0010329,              0.0010329,              0.0010329
                     87,                 2.5681,                 2.6883,                 1.8804,                0.24811,                0.28456,                0.16858,                0.06246,                  3.213,                 3.2817,                 2.1457,              0.0010282,              0.0010282,              0.0010282
                     88,                 2.6332,                 2.2173,                 1.6159,                0.24811,                0.28456,                0.16858,                0.06246,                  3.213,                 3.2817,                 2.1457,              0.0010234,              0.0010234,              0.0010234
                     89,                 2.5798,                 2.2113,                 1.5667,                0.37855,                0.32587,                0.30798,                0.10845,                 2.6077,                 3.0239,                 1.9457,              0.0010187,              0.0010187,              0.0010187
                     90,                 2.5757,                 2.3693,                 1.6351,                0.37855,                0.32587,                0.30798,                0.10845,                 2.6077,                 3.0239,                 1.9457,               0.001014,               0.001014,               0.001014
                     91,                 2.6017,                 2.5722,                  1.708,                0.39515,                 0.3649,                0.35509,                0.14112,                 2.4541,                 3.0504,                 1.8598,              0.0010093,              0.0010093,              0.0010093
