epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8157,6.62589,11.004,4.24593,0,0,0,0,6.68036,7.54094,4.16066,4.287e-05,4.287e-05,4.287e-05
2,9.52545,6.61908,13.654,4.25592,0,0,0,0,6.68084,7.54931,4.16208,9.96999e-05,9.96999e-05,9.96999e-05
3,14.8582,6.71028,12.6707,4.19279,0,0,0,0,6.68105,7.55278,4.16272,0.000156153,0.000156153,0.000156153
4,19.6187,6.4513,7.83615,4.23722,0,0,0,0,6.68173,7.57091,4.16502,0.000212228,0.000212228,0.000212228
5,24.2888,6.51329,9.25871,4.21527,0,0,0,0,6.68224,7.58376,4.16688,0.000267926,0.000267926,0.000267926
6,29.3427,6.49108,8.75188,4.15654,0,0,0,0,6.68271,7.59461,4.16874,0.000323247,0.000323247,0.000323247
7,34.9832,6.72466,10.1995,4.1564,0,0,0,0,6.68271,7.59461,4.16874,0.000378191,0.000378191,0.000378191
8,39.6896,6.49103,11.3042,4.04405,0,0,0,0,6.6832,7.60066,4.17064,0.000432757,0.000432757,0.000432757
9,44.4071,6.64235,9.29634,4.02553,0,0,0,0,6.6839,7.58957,4.1732,0.000486946,0.000486946,0.000486946
10,48.6817,6.65269,9.59899,4.09068,0,0,0,0,6.6839,7.58957,4.1732,0.000540758,0.000540758,0.000540758
11,53.161,6.30759,10.3272,3.89923,0,0,0,0,6.68503,7.54952,4.17714,0.000594192,0.000594192,0.000594192
12,57.7886,6.65601,11.7558,3.79789,0,0,0,0,6.68503,7.54952,4.17714,0.00064725,0.00064725,0.00064725
13,62.5859,6.4055,8.44651,3.77055,0,0,0,0,6.68733,7.46146,4.18529,0.00069993,0.00069993,0.00069993
14,67.2669,6.15538,7.26556,3.84861,0,0,0,0,6.68733,7.46146,4.18529,0.000752233,0.000752233,0.000752233
15,71.951,6.22994,7.04087,3.748,0,0,0,0,6.69315,7.31873,4.20688,0.000804158,0.000804158,0.000804158
16,76.0688,5.86193,5.73237,3.7624,0,0,0,0,6.69315,7.31873,4.20688,0.000855707,0.000855707,0.000855707
17,80.3738,6.03102,8.13603,3.66275,0,0,0,0,6.69315,7.31873,4.20688,0.000906878,0.000906878,0.000906878
18,85.1572,5.87456,6.53109,3.52878,0,0,0,0,6.7034,7.18482,4.24899,0.000957672,0.000957672,0.000957672
19,89.4354,5.3848,5.52868,3.73564,0,0,0,0,6.7034,7.18482,4.24899,0.00100809,0.00100809,0.00100809
20,94.1118,5.30375,5.24725,3.74126,0,0,0,0,6.7034,7.18482,4.24899,0.00105813,0.00105813,0.00105813
21,98.6524,5.47651,5.3294,3.52687,0,0,0,0,6.7034,7.18482,4.24899,0.00110779,0.00110779,0.00110779
22,102.819,5.28385,5.56343,3.48867,0,0,0,0,6.71824,7.08887,4.32147,0.00115707,0.00115707,0.00115707
