                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0634,                 3.5526,                 4.0516,                 0.0197,                   0.52,                0.12097,                0.05295,                  3.251,                 3.6856,                 4.1478,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.2315,                 3.2588,                 4.0905,                0.00968,                    0.7,                 0.1111,                0.04222,                 3.2485,                 3.5814,                 4.0996,             0.00073882,             0.00073882,             0.00073882
                      3,                 3.2355,                  2.636,                 3.8864,                0.01811,                   0.74,                0.12778,                0.03051,                 3.2098,                 3.0558,                 3.7869,             0.00099448,             0.00099448,             0.00099448
                      4,                 3.0945,                 2.4507,                  3.691,                0.00447,                   0.82,                0.00431,                0.00164,                 4.0016,                 7.1059,                 3.9513,               0.001167,               0.001167,               0.001167
                      5,                  3.055,                 2.2997,                 3.4876,                0.01032,                   0.66,                0.01293,                0.00395,                 3.1065,                 3.6992,                 3.7904,               0.001208,               0.001208,               0.001208
                      6,                 2.9902,                  2.311,                   3.24,                0.07598,                   0.46,                0.17329,                0.04135,                 2.9164,                 17.886,                 5.9236,               0.001208,               0.001208,               0.001208
                      7,                 2.9176,                 2.2023,                 3.1114,                0.04509,                    0.5,                0.16339,                0.04001,                 2.9205,                 44.612,                 4.4086,                0.00101,                0.00101,                0.00101
                      8,                 2.8813,                 2.1095,                 3.0764,                0.28314,                    0.3,                0.18848,                0.07261,                 2.8788,                 5.6725,                 3.2272,               0.000812,               0.000812,               0.000812
                      9,                 2.9424,                 2.1397,                 2.9101,                0.10018,                   0.26,                0.04808,                0.01752,                 2.9386,                 6.7649,                 3.3872,               0.000614,               0.000614,               0.000614
                     10,                  2.847,                 2.1645,                  2.829,                0.33724,                   0.24,                0.14747,                0.05291,                 2.7455,                 2.5663,                 3.0903,               0.000416,               0.000416,               0.000416
