epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97311,6.55263,9.53776,4.30138,0,0,0,0,6.68008,7.53876,4.15987,1.429e-05,1.429e-05,1.429e-05
2,11.218,6.65725,11.1274,4.28197,0,0,0,0,6.68038,7.54123,4.16074,4.27285e-05,4.27285e-05,4.27285e-05
3,15.969,6.55813,10.2619,4.21429,0,0,0,0,6.68066,7.54485,4.16155,7.09784e-05,7.09784e-05,7.09784e-05
4,21.2326,6.31659,8.28598,4.21364,0,0,0,0,6.68089,7.54849,4.16229,9.90397e-05,9.90397e-05,9.90397e-05
5,26.9917,4.66178,12.9035,2.94178,0,0,0,0,6.68116,7.55648,4.16317,0.000126912,0.000126912,0.000126912
6,32.3569,6.29104,7.53286,4.16733,0,0,0,0,6.68139,7.55886,4.16392,0.000154596,0.000154596,0.000154596
7,37.6405,6.6453,9.3233,4.19556,0,0,0,0,6.6814,7.55841,4.16397,0.000182092,0.000182092,0.000182092
8,43.0998,6.56721,10.1169,4.12191,0,0,0,0,6.68154,7.56036,4.16433,0.000209399,0.000209399,0.000209399
9,48.133,6.75005,11.0066,4.09898,0,0,0,0,6.68156,7.56046,4.16436,0.000236517,0.000236517,0.000236517
10,53.2569,6.7025,9.88718,4.06591,0,0,0,0,6.6815,7.55739,4.1641,0.000263446,0.000263446,0.000263446
11,58.2529,3.75844,12.0179,2.31457,0,0,0,0,6.6814,7.54909,4.16374,0.000290187,0.000290187,0.000290187
12,63.9667,6.8478,12.1851,3.94725,0,0,0,0,6.6813,7.54139,4.16342,0.000316739,0.000316739,0.000316739
13,69.1398,6.43682,8.21463,3.9135,0,0,0,0,6.68121,7.52894,4.16321,0.000343103,0.000343103,0.000343103
14,74.2758,6.44767,7.74266,3.82926,0,0,0,0,6.68124,7.51277,4.16337,0.000369278,0.000369278,0.000369278
15,79.5218,6.2051,6.72818,3.89393,0,0,0,0,6.68137,7.4928,4.16387,0.000395264,0.000395264,0.000395264
16,84.9942,5.79429,6.28596,3.67266,0,0,0,0,6.68151,7.46286,4.16471,0.000421062,0.000421062,0.000421062
17,90.4338,6.22639,8.42308,3.53934,0,0,0,0,6.68176,7.42599,4.16613,0.000446671,0.000446671,0.000446671
18,95.7695,6.37673,7.1657,3.6249,0,0,0,0,6.68228,7.3905,4.16861,0.000472092,0.000472092,0.000472092
19,101.284,5.42408,5.18864,3.52359,0,0,0,0,6.68301,7.341,4.17213,0.000497323,0.000497323,0.000497323
20,106.368,5.78168,5.56777,3.43664,0,0,0,0,6.68415,7.29821,4.17727,0.000522367,0.000522367,0.000522367
21,111.587,5.3478,4.89179,3.20881,0,0,0,0,6.68592,7.24378,4.1846,0.000547221,0.000547221,0.000547221
22,117.263,4.23007,4.6266,3.52832,0,0,0,0,6.68592,7.24378,4.1846,0.000571887,0.000571887,0.000571887
23,122.077,4.76246,4.81478,3.41661,0,0,0,0,6.68842,7.19754,4.19458,0.000596365,0.000596365,0.000596365
24,127.001,5.02208,5.19151,3.30123,0,0,0,0,6.6919,7.16051,4.20845,0.000620653,0.000620653,0.000620653
25,132.367,4.71839,4.22704,3.18559,0,0,0,0,6.6919,7.16051,4.20845,0.000644753,0.000644753,0.000644753
26,137.297,4.26241,4.95869,3.45304,0,0,0,0,6.69645,7.13338,4.22683,0.000668665,0.000668665,0.000668665
27,142.475,4.64526,4.2073,3.1284,0,0,0,0,6.70125,7.11415,4.24645,0.000692388,0.000692388,0.000692388
