epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14437,6.6026,10.0394,4.20414,0,0,0,0,6.68007,7.53864,4.15982,1.429e-05,1.429e-05,1.429e-05
2,8.1423,6.56224,11.6052,4.25633,0,0,0,0,6.68034,7.54087,4.1606,4.27285e-05,4.27285e-05,4.27285e-05
3,12.5499,6.60404,10.8155,4.18953,0,0,0,0,6.68058,7.5441,4.16132,7.09784e-05,7.09784e-05,7.09784e-05
4,17.2717,6.41053,8.26529,4.22725,0,0,0,0,6.68077,7.54704,4.16191,9.90397e-05,9.90397e-05,9.90397e-05
5,21.2844,6.57736,9.39357,4.20751,0,0,0,0,6.68089,7.55288,4.16237,0.000126912,0.000126912,0.000126912
6,25.4787,6.36639,8.0086,4.1684,0,0,0,0,6.68084,7.55342,4.16234,0.000154596,0.000154596,0.000154596
7,29.4399,6.67832,9.38618,4.18248,0,0,0,0,6.68078,7.55454,4.16228,0.000182092,0.000182092,0.000182092
8,33.3222,6.5999,10.7012,4.14317,0,0,0,0,6.68064,7.55419,4.162,0.000209399,0.000209399,0.000209399
9,37.2061,6.60988,8.65142,4.0849,0,0,0,0,6.68036,7.55101,4.1613,0.000236517,0.000236517,0.000236517
10,41.1721,6.74831,12.2059,4.10907,0,0,0,0,6.67998,7.5455,4.1603,0.000263446,0.000263446,0.000263446
11,44.9638,6.6593,17.3072,3.98049,0,0,0,0,6.67953,7.53536,4.15914,0.000290187,0.000290187,0.000290187
12,48.7126,6.87687,14.5869,3.96456,0,0,0,0,6.67903,7.5238,4.1579,0.000316739,0.000316739,0.000316739
13,53.3403,6.4587,8.51923,3.92405,0,0,0,0,6.67854,7.50855,4.15677,0.000343103,0.000343103,0.000343103
14,58.511,6.57289,8.44817,3.83825,0,0,0,0,6.67822,7.49051,4.15621,0.000369278,0.000369278,0.000369278
15,63.2095,6.30665,7.05682,3.8828,0,0,0,0,6.67804,7.46917,4.15626,0.000395264,0.000395264,0.000395264
16,68.3642,5.95112,5.9871,3.73401,0,0,0,0,6.6779,7.44202,4.15664,0.000421062,0.000421062,0.000421062
17,72.7494,6.19012,7.88083,3.56865,0,0,0,0,6.67802,7.40969,4.15797,0.000446671,0.000446671,0.000446671
18,77.2672,6.19792,6.44888,3.49111,0,0,0,0,6.67802,7.40969,4.15797,0.000472092,0.000472092,0.000472092
19,81.6867,5.56932,5.3972,3.48597,0,0,0,0,6.67861,7.37012,4.16137,0.000497323,0.000497323,0.000497323
20,86.0616,5.18724,5.18067,3.43999,0,0,0,0,6.67958,7.32628,4.16615,0.000522367,0.000522367,0.000522367
21,90.6587,5.52674,5.10863,3.33439,0,0,0,0,6.67958,7.32628,4.16615,0.000547221,0.000547221,0.000547221
22,95.3142,4.77314,4.92409,3.47286,0,0,0,0,6.68133,7.26646,4.17404,0.000571887,0.000571887,0.000571887
23,99.9957,4.84237,4.84169,3.28292,0,0,0,0,6.68496,7.22093,4.1889,0.000596365,0.000596365,0.000596365
24,104.48,4.932,4.87175,3.40278,0,0,0,0,6.68496,7.22093,4.1889,0.000620653,0.000620653,0.000620653
25,109.012,4.63758,4.40371,3.21418,0,0,0,0,6.69064,7.17997,4.21177,0.000644753,0.000644753,0.000644753
26,114.019,4.71085,5.04937,3.50662,0,0,0,0,6.69742,7.16207,4.23901,0.000668665,0.000668665,0.000668665
27,118.52,5.02302,4.22921,3.22048,0,0,0,0,6.69742,7.16207,4.23901,0.000692388,0.000692388,0.000692388
28,123.551,4.64445,4.87635,3.07395,0,0,0,0,6.70446,7.14217,4.2681,0.000715922,0.000715922,0.000715922
29,128.083,4.84271,4.08703,2.90672,0,0,0,0,6.71316,7.14496,4.30501,0.000739267,0.000739267,0.000739267
30,132.428,4.19331,4.10919,2.96038,0,0,0,0,6.71316,7.14496,4.30501,0.000762424,0.000762424,0.000762424
31,136.805,4.80126,3.96663,3.01339,0,0,0,0,6.72002,7.13049,4.33431,0.000785393,0.000785393,0.000785393
32,141.274,4.12635,4.17122,2.90792,0,0,0,0,6.72002,7.13049,4.33431,0.000808172,0.000808172,0.000808172
33,145.771,4.45114,3.9129,2.73971,0,0,0,0,6.72472,7.10494,4.35399,0.000830763,0.000830763,0.000830763
34,150.264,3.86893,3.79743,2.94278,0,0,0,0,6.72472,7.10494,4.35399,0.000853166,0.000853166,0.000853166
35,156.864,3.99586,3.75827,2.8156,0,0,0,0,6.72931,7.07963,4.37348,0.00087538,0.00087538,0.00087538
36,161.75,4.06643,3.71747,2.57321,0,0,0,0,6.72931,7.07963,4.37348,0.000897405,0.000897405,0.000897405
37,167.278,4.14853,4.08047,2.92572,0,0,0,0,6.73278,7.02913,4.3888,0.000919241,0.000919241,0.000919241
38,172.259,4.27437,3.95605,2.80494,0,0,0,0,6.73278,7.02913,4.3888,0.000940889,0.000940889,0.000940889
39,176.565,4.0118,3.94922,2.61799,0,0,0,0,6.73516,6.98685,4.39964,0.000962349,0.000962349,0.000962349
40,180.89,4.01527,3.9163,2.57017,0,0,0,0,6.73516,6.98685,4.39964,0.000983619,0.000983619,0.000983619
41,185.888,4.06093,3.9269,2.40951,0,0,0,0,6.73516,6.98685,4.39964,0.0010047,0.0010047,0.0010047
42,190.137,4.17331,3.81853,2.41145,0,0,0,0,6.74047,6.98522,4.42534,0.00102559,0.00102559,0.00102559
43,194.55,3.81564,3.46757,2.55934,0,0,0,0,6.74047,6.98522,4.42534,0.0010463,0.0010463,0.0010463
44,199.335,4.11833,3.85055,2.45263,0,0,0,0,6.73654,6.89016,4.41007,0.00106682,0.00106682,0.00106682
45,204.022,4.32739,3.69398,2.34111,0,0,0,0,6.73654,6.89016,4.41007,0.00108714,0.00108714,0.00108714
46,209.031,4.02738,3.60169,2.44877,0,0,0,0,6.73654,6.89016,4.41007,0.00110728,0.00110728,0.00110728
47,214.179,4.19258,3.53817,2.26974,0,0,0,0,6.73346,6.84928,4.39528,0.00112723,0.00112723,0.00112723
48,219.121,3.90362,3.39365,2.48144,0,0,0,0,6.73346,6.84928,4.39528,0.00114699,0.00114699,0.00114699
49,223.966,4.02402,3.232,2.43777,0,0,0,0,6.72915,6.85737,4.37138,0.00116657,0.00116657,0.00116657
50,228.859,4.07416,3.38303,2.28523,0,0,0,0,6.72915,6.85737,4.37138,0.00118595,0.00118595,0.00118595
51,233.702,3.97265,3.36718,2.15996,0,0,0,0,6.72915,6.85737,4.37138,0.00119322,0.00119322,0.00119322
